domain,kingdom,subkingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,form,morph,strain,Animal Name
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Primates,Haplorhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Hominini,Hominina,Homo,,,,,,,,Homo sapiens
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Cynoidea,,,Canidae,Caninae,Canini,Canina,Canis,,,,,,,,Canis lupus familiaris
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Felinae,,,Felis,,,,,,,,Felis catus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Pantherinae,,,Panthera,,,,,,,,Panthera leo
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Pantherinae,,,Panthera,,,,,,,,Panthera tigris
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Afrotheria,Proboscidea,Elephantiformes,,,Elephantoidea,Elephantidae,Elephantinae,Loxodontini,,Loxodonta,,,,,,,,Loxodonta africana
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Primates,Haplorhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,,,,,,,,Gorilla gorilla
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Perissodactyla,Hippomorpha,,,Equoidea,Equidae,Equinae,Equini,Equina,Equus,,,,,,,,Equus caballus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Bovinae,Bovini,Bovina,Bos,,,,,,,,Bos taurus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Caprinae,Caprini,,Ovis,,,,,,,,Ovis aries
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Suina,,,,Suidae,Suinae,,,Sus,,,,,,,,Sus scrofa
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,Galloanserae,Galliformes,,,,Phasianoidea,Phasianidae,Phasianinae,Gallini,,Gallus,,,,,,,,Gallus gallus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,Galloanserae,Anseriformes,Anseres,,,Anatoidea,Anatidae,Anatinae,Anatini,,Anas,,,,,,,,Anas platyrhynchos
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Palaeognathae,,Apterygiformes,,,,,Apterygidae,,,,Apteryx,,,,,,,,Apteryx haastii
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Palaeognathae,,Struthioniformes,,,,,Struthionidae,,,,Struthio,,,,,,,,Struthio camelus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Arctoidea,Ursida,Ursoidea,Ursidae,Ailuropodinae,,,Ailuropoda,,,,,,,,Ailuropoda melanoleuca
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Arctoidea,Ursida,Ursoidea,Ursidae,Ursinae,Ursini,,Ursus,,,,,,,,Ursus arctos
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Cynoidea,,,Canidae,Caninae,Vulpini,,Vulpes,,,,,,,,Vulpes vulpes
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Felinae,,,Lynx,,,,,,,,Lynx lynx
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Felinae,,,Acinonyx,,,,,,,,Acinonyx jubatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinoidea,Delphinidae,Delphininae,,,Delphinus,,,,,,,,Delphinus delphis
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinoidea,Delphinidae,Orcininae,,,Orcinus,,,,,,,,Orcinus orca
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Mysticeti,Balaenopteroidea,Balaenopteridae,,,,Balaenoptera,,,,,,,,Balaenoptera musculus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Arctoidea,Pinnipedia,Phocoidea,Phocidae,Phocinae,Phocini,,Phoca,,,,,,,,Phoca vitulina
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,,Testudines,Cryptodira,,,Chelonioidea,Cheloniidae,Cheloniinae,,,Chelonia,,,,,,,,Chelonia mydas
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,,Crocodilia,,,,Crocodyloidea,Crocodylidae,Crocodylinae,,,Crocodylus,,,,,,,,Crocodylus niloticus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,Lepidosauria,Squamata,Serpentes,Alethinophidia,,Pythonoidea,Pythonidae,,,,Python,,,,,,,,Python bivittatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,Lepidosauria,Squamata,Serpentes,Alethinophidia,,Elapoidea,Elapidae,,,,Naja,,,,,,,,Naja naja
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Anura,,,,Dendrobatoidea,Dendrobatidae,Dendrobatinae,,,Dendrobates,,,,,,,,Dendrobates auratus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Actinopterygii,Neopterygii,Teleosteomorpha,Protacanthopterygii,Salmoniformes,Salmonoidei,,,,Salmonidae,Salmoninae,,,Salmo,,,,,,,,Salmo salar
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Actinopterygii,Neopterygii,Teleosteomorpha,Protacanthopterygii,Salmoniformes,Salmonoidei,,,,Salmonidae,Salmoninae,,,Oncorhynchus,,,,,,,,Oncorhynchus mykiss
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Actinopterygii,Neopterygii,Teleosteomorpha,Paracanthopterygii,Gadiformes,Gadoidei,,,,Gadidae,,,,Gadus,,,,,,,,Gadus morhua
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,Lepidosauria,Rhynchocephalia,Sphenodontia,Eusphenodontia,,,Sphenodontidae,Sphenodontinae,,,Sphenodon,,,,,,,,Sphenodon punctatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,,Crocodilia,,,,Alligatoroidea,Alligatoridae,Caimaninae,,,Caiman,,,,,,,,Caiman crocodilus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Strigiformes,,,,,Strigidae,,,,Strix,,,,,,,,Strix aluco
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Strigiformes,,,,,Strigidae,,,,Bubo,,,,,,,,Bubo bubo
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Accipitriformes,,,,,Accipitridae,Buteoninae,,,Haliaeetus,,,,,,,,Haliaeetus leucocephalus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Falconiformes,,,,,Falconidae,Falconinae,,,Falco,,,,,,,,Falco peregrinus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,Galloanserae,Galliformes,,,,Phasianoidea,Phasianidae,Phasianinae,Pavonini,,Pavo,,,,,,,,Pavo cristatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Columbiformes,,,,,Columbidae,Columbinae,,,Columba,,,,,,,,Columba livia
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Apodiformes,,,,,Apodidae,Apodinae,Apodini,,Apus,,,,,,,,Apus apus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Sphenisciformes,,,,,Spheniscidae,,,,Aptenodytes,,,,,,,,Aptenodytes forsteri
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Sphenisciformes,,,,,Spheniscidae,,,,Spheniscus,,,,,,,,Spheniscus demersus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,,Phoenicopteriformes,,,,,Phoenicopteridae,,,,Phoenicopterus,,,,,,,,Phoenicopterus roseus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,Pelecanimorphae,Ciconiiformes,,,,,Ciconiidae,,,,Ciconia,,,,,,,,Ciconia ciconia
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Rodentia,Myomorpha,,,Muroidea,Muridae,Murinae,Murini,,Mus,,,,,,,,Mus musculus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Rodentia,Myomorpha,,,Muroidea,Muridae,Murinae,Rattini,,Rattus,,,,,,,,Rattus norvegicus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Lagomorpha,,,,,Leporidae,,,,Oryctolagus,,,,,,,,Oryctolagus cuniculus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Rodentia,Hystricomorpha,Hystricognathi,Caviomorpha,,Caviidae,Caviinae,,,Cavia,,,,,,,,Cavia porcellus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Marsupialia,Australidelphia,Diprotodontia,Macropodiformes,,,Macropodoidea,Macropodidae,Macropodinae,,,Macropus,,,,,,,,Macropus rufus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Marsupialia,Ameridelphia,Didelphimorphia,,,,,Didelphidae,Didelphinae,Didelphini,,Didelphis,,,,,,,,Didelphis virginiana
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,,,,Monotremata,,,,Ornithorhynchoidea,Ornithorhynchidae,,,,Ornithorhynchus,,,,,,,,Ornithorhynchus anatinus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,,,,Monotremata,,,,Ornithorhynchoidea,Tachyglossidae,,,,Tachyglossus,,,,,,,,Tachyglossus aculeatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Marsupialia,Ameridelphia,Didelphimorphia,,,,,Didelphidae,Didelphinae,Marmosini,,Monodelphis,,,,,,,,Monodelphis domestica
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Rodentia,Hystricomorpha,Hystricognathi,Phiomorpha,,Bathyergidae,,,,Fukomys,,,,,,,,Fukomys damarensis
Eukaryota,Animalia,Eumetazoa,Lophotrochozoa,Mollusca,Conchifera,,Cephalopoda,Coleoidea,,Octopodiformes,Octopoda,Incirrata,,,Octopodoidea,Octopodidae,Octopodinae,,,Octopus,,,,,,,,Octopus vulgaris
Eukaryota,Animalia,Eumetazoa,Lophotrochozoa,Mollusca,Conchifera,,Cephalopoda,Coleoidea,,Decapodiformes,Myopsida,,,,,Loliginidae,,,,Loligo,,,,,,,,Loligo pealeii
Eukaryota,Animalia,Eumetazoa,Lophotrochozoa,Mollusca,Conchifera,,Cephalopoda,Coleoidea,,Decapodiformes,Sepiida,Sepiina,,,Sepioidea,Sepiidae,,,,Sepia,,,,,,,,Sepia officinalis
Eukaryota,Animalia,Eumetazoa,Lophotrochozoa,Mollusca,Conchifera,,Cephalopoda,Coleoidea,,Octopodiformes,Octopoda,Incirrata,,,Octopodoidea,Eledonidae,,,,Eledone,,,,,,,,Eledone cirrhosa
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Panorpida,Diptera,Brachycera,Muscomorpha,,Ephydroidea,Drosophilidae,Drosophilinae,,,Drosophila,,,,,,,,Drosophila melanogaster
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Panorpida,Diptera,Nematocera,Culicomorpha,,Culicoidea,Culicidae,Anophelinae,,,Anopheles,,,,,,,,Anopheles gambiae
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Panorpida,Diptera,Nematocera,Culicomorpha,,Culicoidea,Culicidae,Culicinae,Aedini,,Aedes,,,,,,,,Aedes aegypti
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Hymenopterida,Hymenoptera,Apocrita,Aculeata,,Apoidea,Apidae,Apinae,Apini,,Apis,,,,,,,,Apis mellifera
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Hymenopterida,Hymenoptera,Apocrita,Aculeata,,Apoidea,Apidae,Apinae,Bombini,,Bombus,,,,,,,,Bombus terrestris
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Panorpida,Diptera,Nematocera,Culicomorpha,,Culicoidea,Culicidae,Culicinae,Culicini,,Culex,,,,,,,,Culex pipiens
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Panorpida,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyoidea,Stratiomyidae,Hermetiinae,,,Hermetia,,,,,,,,Hermetia illucens
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Cucujiformia,,Tenebrionoidea,Tenebrionidae,Tenebrioninae,Tenebrionini,,Tenebrio,,,,,,,,Tenebrio molitor
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Dictyoptera,Blattodea,,,,Blaberoidea,Blaberidae,Oxyhaloinae,Gromphadorhini,,Gromphadorhina,,,,,,,,Gromphadorhina portentosa
Eukaryota,Animalia,Eumetazoa,Ecdysozoa,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Dictyoptera,Blattodea,,,,Blaberoidea,Blaberidae,Blaberinae,,,Blaberus,,,,,,,,Blaberus giganteus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Anura,Neobatrachia,,,,Ranidae,,,,Lithobates,,,,,,,,Lithobates catesbeianus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Anura,Neobatrachia,,,Hyloidea,Hylidae,Hylinae,,,Hyla,,,,,,,,Hyla cinerea
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Anura,Neobatrachia,,,,Ranidae,,,,Rana,,,,,,,,Rana temporaria
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Anura,Neobatrachia,,,Hyloidea,Bufonidae,,,,Bufo,,,,,,,,Bufo bufo
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Urodela,Salamandroidea,,,,Ambystomatidae,,,,Ambystoma,,,,,,,,Ambystoma mexicanum
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Urodela,Salamandroidea,,,,Salamandridae,Pleurodelinae,,,Triturus,,,,,,,,Triturus cristatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Urodela,Salamandroidea,,,,Ambystomatidae,,,,Ambystoma,,,,,,,,Ambystoma tigrinum
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Urodela,Salamandroidea,,,,Salamandridae,Pleurodelinae,,,Ichthyosaura,,,,,,,,Ichthyosaura alpestris
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Urodela,Salamandroidea,,,,Proteidae,,,,Necturus,,,,,,,,Necturus maculosus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Urodela,,,,,Sirenidae,,,,Siren,,,,,,,,Siren lacertina
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,,Eptesicus,,,,,,,,Eptesicus fuscus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Vespertilionoidea,Vespertilionidae,Myotinae,,,Myotis,,,,,,,,Myotis lucifugus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,,,Pteropodoidea,Pteropodidae,Pteropodinae,Pteropodini,,Pteropus,,,,,,,,Pteropus vampyrus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,,,Pteropodoidea,Pteropodidae,Rousettinae,Rousettini,,Rousettus,,,,,,,,Rousettus aegyptiacus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Vespertilionoidea,Molossidae,,,,Tadarida,,,,,,,,Tadarida brasiliensis
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Suina,,,,Suidae,Suinae,,,Sus,,,,,,,,Sus scrofa domesticus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Bovinae,Bovini,Bovina,Bos,,,,,,,,Bos grunniens
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Bovinae,Bovini,Bubalina,Bubalus,,,,,,,,Bubalus bubalis
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Caprinae,Caprini,,Capra,,,,,,,,Capra hircus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Caprinae,Caprini,,Ovis,,,,,,,,Ovis aries musimon
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Tylopoda,,,Cameloidea,Camelidae,Camelinae,Camelini,,Camelus,,,,,,,,Camelus dromedarius
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Tylopoda,,,Cameloidea,Camelidae,Camelinae,Lamini,,Vicugna,,,,,,,,Vicugna vicugna
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Tylopoda,,,Cameloidea,Camelidae,Camelinae,Lamini,,Lama,,,,,,,,Lama glama
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Capreolinae,Alceini,,Alces,,,,,,,,Alces alces
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Capreolinae,Odocoileini,,Odocoileus,,,,,,,,Odocoileus virginianus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Capreolinae,Odocoileini,,Rangifer,,,,,,,,Rangifer tarandus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Cervinae,Cervini,,Cervus,,,,,,,,Cervus elaphus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Cervinae,Cervini,,Dama,,,,,,,,Dama dama
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Cervinae,Muntiacini,,Muntiacus,,,,,,,,Muntiacus reevesi
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,,Cervidae,Capreolinae,Capreolini,,Hydropotes,,,,,,,,Hydropotes inermis
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Marsupialia,Australidelphia,Diprotodontia,Vombatiformes,Phascolarctomorphia,,,Phascolarctidae,,,,Phascolarctos,,,,,,,,Phascolarctos cinereus
